x,y,width
0.3,0.8234061,0.465
0.3,0.81922413,0.465
0.3,0.81504219,0.465
0.3,0.81086025,0.465
0.3,0.80667831,0.465
0.3,0.80249637,0.465
0.3,0.7983144,0.465
0.3,0.79413246,0.465
0.3,0.78995052,0.465
0.3,0.78576858,0.465
0.3,0.78158661,0.465
0.3,0.77740467,0.465
0.3,0.77322273,0.465
0.3,0.76904079,0.465
0.3,0.76485885,0.465
0.3,0.76067688,0.465
0.3,0.75649494,0.465
0.3,0.752313,0.465
0.3,0.74813106,0.465
0.3,0.74394909,0.465
0.3,0.73976715,0.465
0.3,0.73558521,0.465
0.3,0.73140327,0.465
0.3,0.72722133,0.465
0.3,0.72303936,0.465
0.3,0.71885742,0.465
0.3,0.71467548,0.465
0.3,0.71049354,0.465
0.3,0.70631157,0.465
0.3,0.70212963,0.465
0.3,0.69794769,0.465
0.3,0.69376575,0.465
0.3,0.68958381,0.465
0.3,0.68540184,0.465
0.3,0.6812199,0.465
0.3,0.67703796,0.465
0.3,0.67285602,0.465
0.3,0.66867405,0.465
0.3,0.66449211,0.465
0.3,0.66031017,0.465
0.3,0.65612823,0.465
0.3,0.65194626,0.465
0.3,0.64776432,0.465
0.3,0.64358238,0.465
0.3,0.63940044,0.465
0.3,0.6352185,0.465
0.3,0.63103653,0.465
0.3,0.62685459,0.465
0.3,0.62267265,0.465
0.3,0.61849071,0.465
0.3,0.61430874,0.465
0.3,0.6101268,0.465
0.3,0.60594486,0.465
0.3,0.60176292,0.465
0.30000975,0.59758098,0.465
0.30007263,0.59339955,0.465
0.30019377,0.58921941,0.465
0.30037317,0.58504134,0.465
0.3006108,0.58086618,0.465
0.3009066,0.57669474,0.465
0.30126051,0.57252783,0.465
0.30167247,0.56836626,0.465
0.30214242,0.56421084,0.465
0.30267024,0.56006235,0.465
0.30325584,0.55592166,0.465
0.3038991,0.55178952,0.465
0.30459987,0.54766674,0.465
0.30535809,0.54355413,0.465
0.30617352,0.5394525,0.465
0.30704607,0.5353626,0.465
0.30797553,0.5312853,0.465
