x,y,dx,dy
100.0330487,22.9272738,1.7940512,-4.1269093
100.2977699,23.0405454,1.7464014,-4.1472982
100.5637782,23.1507606,1.6985199,-4.1671369
100.8310382,23.2579049,1.6504131,-4.1864229
101.0995145,23.3619639,1.6020874,-4.2051535
101.3691714,23.4629239,1.5535491,-4.2233263
101.6399733,23.5607715,1.5048048,-4.2409389
101.9118841,23.6554937,1.4558609,-4.2579889
102.1848678,23.7470779,1.4067238,-4.274474
102.4588883,23.835512,1.3574001,-4.2903922
102.733909,23.9207843,1.3078964,-4.3057412
103.0098937,24.0028834,1.2582191,-4.320519
103.2868056,24.0817985,1.208375,-4.3347237
103.564608,24.1575191,1.1583706,-4.3483534
103.8432641,24.2300351,1.1082125,-4.3614063
104.1227369,24.299337,1.0579074,-4.3738807
104.4029893,24.3654155,1.0074619,-4.3857748
104.6839842,24.4282618,0.9568828,-4.3970871
104.9656843,24.4878677,0.9061768,-4.4078162
105.2480522,24.5442252,0.8553506,-4.4179605
105.5310504,24.5973269,0.8044109,-4.4275188
105.8146415,24.6471656,0.7533645,-4.4364898
106.0987877,24.6937349,0.7022182,-4.4448723
106.3834515,24.7370285,0.6509787,-4.4526651
106.668595,24.7770406,0.5996529,-4.4598673
106.9541804,24.813766,0.5482475,-4.4664779
107.2401699,24.8471998,0.4967694,-4.472496
107.5265254,24.8773375,0.4452254,-4.4779208
107.8132091,24.9041753,0.3936224,-4.4827515
108.1001829,24.9277094,0.3419671,-4.4869877
108.3874086,24.9479368,0.2902664,-4.4906286
108.6748483,24.9648548,0.2385273,-4.4936739
108.9624638,24.9784611,0.1867565,-4.496123
109.2502169,24.988754,0.134961,-4.4979757
109.5380695,24.995732,0.0831475,-4.4992318
109.8259833,24.9993944,0.031323,-4.499891
110.1139206,25,0,-4.5
110.4018593,25,0,-4.5
110.6897981,25,0,-4.5
110.9777368,25,0,-4.5
111.2656755,25,0,-4.5
111.5536142,25,0,-4.5
111.8415529,25,0,-4.5
112.1294917,25,0,-4.5
112.4174304,25,0,-4.5
112.7053691,25,0,-4.5
112.9933078,25,0,-4.5
113.2812465,25,0,-4.5
113.5691853,25,0,-4.5
113.857124,25,0,-4.5
114.1450627,25,0,-4.5
114.4330014,25,0,-4.5
114.7209402,25,0,-4.5
115.0088789,25,0,-4.5
115.2968176,25,0,-4.5
115.5847563,25,0,-4.5
115.872695,25,0,-4.5
116.1606338,25,0,-4.5
116.4485725,25,0,-4.5
116.7365112,25,0,-4.5
117.0244499,25,0,-4.5
117.3123886,25,0,-4.5
117.6003274,25,0,-4.5
117.8882661,25,0,-4.5
118.1762048,25,0,-4.5
118.4641435,25,0,-4.5
118.7520823,25,0,-4.5
119.040021,25,0,-4.5
119.3279597,25,0,-4.5
119.6158984,25,0,-4.5
119.9038371,25,0,-4.5
120.1917759,25,0,-4.5
120.4797146,25,0,-4.5
120.7676533,25,0,-4.5
121.055592,25,0,-4.5
121.3435308,25,0,-4.5
121.6314695,25,0,-4.5
121.9194082,25,0,-4.5
122.2073469,25,0,-4.5
122.4952856,25,0,-4.5
122.7832244,25,0,-4.5
123.0711631,25,0,-4.5
123.3591018,25,0,-4.5
123.6470405,25,0,-4.5
123.9349792,25,0,-4.5
124.222918,25,0,-4.5
124.5108567,25,0,-4.5
124.7987954,25,0,-4.5
125.0867341,25,0,-4.5
125.3746729,25,0,-4.5
125.6626116,25,0,-4.5
125.9505503,25,0,-4.5
126.238489,25,0,-4.5
126.5264277,25,0,-4.5
126.8143665,25,0,-4.5
127.1023052,25,0,-4.5
127.3902439,25,0,-4.5
127.6781826,25,0,-4.5
127.9661214,25,0,-4.5
128.2540601,25,0,-4.5
128.5419988,25,0,-4.5
128.8299375,25,0,-4.5
129.1178762,25,0,-4.5
129.405815,25,0,-4.5
129.6937537,25,0,-4.5
129.9816924,25,0,-4.5
130.2696311,25,0,-4.5
130.5575698,25,0,-4.5
130.8455086,25,0,-4.5
131.1334473,25,0,-4.5
131.421386,25,0,-4.5
131.7093247,25,0,-4.5
131.9972635,25,0,-4.5
132.2852022,25,0,-4.5
132.5731409,25,0,-4.5
132.8610796,25,0,-4.5
133.1490183,25,0,-4.5
133.4369571,25,0,-4.5
133.7248958,25,0,-4.5
134.0128345,25,0,-4.5
134.3007732,25,0,-4.5
134.588712,25,0,-4.5
134.8766507,25,0,-4.5
135.1645894,25,0,-4.5
135.4525281,25,0,-4.5
135.7404668,25,0,-4.5
136.0284056,25,0,-4.5
136.3163443,25,0,-4.5
136.604283,25,0,-4.5
136.8922217,25,0,-4.5
137.1801604,25,0,-4.5
137.4680992,25,0,-4.5
137.7560379,25,0,-4.5
138.0439766,25,0,-4.5
138.3319153,25,0,-4.5
138.6198541,25,0,-4.5
138.9077928,25,0,-4.5
139.1957315,25,0,-4.5
139.4836702,25,0,-4.5
139.7716089,25,0,-4.5
140.0595477,25,0,-4.5
140.3474864,25,0,-4.5
140.6354251,25,0,-4.5
140.9233638,25,0,-4.5
141.2113025,25,0,-4.5
141.4992413,25,0,-4.5
141.78718,25,0,-4.5
142.0751187,25,0,-4.5
142.3630574,25,0,-4.5
142.6509962,25,0,-4.5
142.9389349,25,0,-4.5
143.2268736,25,0,-4.5
143.5148123,25,0,-4.5
143.802751,25,0,-4.5
144.0906898,25,0,-4.5
144.3786285,25,0,-4.5
144.6665672,25,0,-4.5
144.9545059,25,0,-4.5
145.2424447,25,0,-4.5
145.5303834,25,0,-4.5
145.8183221,25,0,-4.5
146.1062608,25,0,-4.5
146.3941995,25,0,-4.5
146.6821383,25,0,-4.5
146.970077,25,0,-4.5
147.2580157,25,0,-4.5
147.5459544,25,0,-4.5
147.8338931,25,0,-4.5
148.1218319,25,0,-4.5
148.4097706,25,0,-4.5
148.6977093,25,0,-4.5
148.985648,25,0,-4.5
149.2735868,25,0,-4.5
149.5615255,25,0,-4.5
149.8494642,25,0,-4.5
150.1374029,25,0,-4.5
150.4253416,25,0,-4.5
150.7132804,25,0,-4.5
151.0012191,25,0,-4.5
151.2891578,25,0,-4.5
151.5770965,25,0,-4.5
151.8650353,25,0,-4.5
152.152974,25,0,-4.5
152.4409127,25,0,-4.5
152.7288514,25,0,-4.5
153.0167901,25,0,-4.5
153.3047289,25,0,-4.5
153.5926676,25,0,-4.5
153.8806063,25,0,-4.5
154.168545,25,0,-4.5
154.4564837,25,0,-4.5
154.7444225,25,0,-4.5
155.0323612,25,0,-4.5
155.3202999,25,0,-4.5
155.6082386,25,0,-4.5
155.8961774,25,0,-4.5
156.1841161,25,0,-4.5
156.4720548,25,0,-4.5
156.7599935,25,0,-4.5
157.0479322,25,0,-4.5
157.335871,25,0,-4.5
157.6238097,25,0,-4.5
157.9117484,25,0,-4.5
158.1996871,25,0,-4.5
158.4876258,25,0,-4.5
158.7755646,25,0,-4.5
159.0635033,25,0,-4.5
159.351442,25,0,-4.5
159.6393807,25,0,-4.5
159.9273195,25,0,-4.5
160.2152582,25,0,-4.5
160.5031969,25,0,-4.5
160.7911356,25,0,-4.5
161.0790743,25,0,-4.5
161.3670131,25,0,-4.5
161.6549518,25,0,-4.5
161.9428905,25,0,-4.5
162.2308292,25,0,-4.5
162.518768,25,0,-4.5
162.8067067,25,0,-4.5
163.0946454,25,0,-4.5
163.3825841,25,0,-4.5
163.6705228,25,0,-4.5
163.9584616,25,0,-4.5
164.2464003,25,0,-4.5
164.534339,25,0,-4.5
164.8222777,25,0,-4.5
165.1102164,25,0,-4.5
165.3981552,25,0,-4.5
165.6860939,25,0,-4.5
165.9740326,25,0,-4.5
166.2619713,25,0,-4.5
166.5499101,25,0,-4.5
166.8378488,25,0,-4.5
167.1257875,25,0,-4.5
167.4137262,25,0,-4.5
167.7016649,25,0,-4.5
167.9896037,25,0,-4.5
168.2775424,25,0,-4.5
168.5654811,25,0,-4.5
168.8534198,25,0,-4.5
169.1413586,25,0,-4.5
169.4292973,25,0,-4.5
169.717236,25,0,-4.5
170.0051747,24.9999991,-0.0015524,-4.4999997
170.2930948,24.9971362,-0.0879284,-4.4991409
170.5809069,24.9887474,-0.1742721,-4.4966242
170.8685049,24.9748355,-0.2605515,-4.4924507
171.1557829,24.9554059,-0.3467349,-4.4866218
171.442635,24.9304656,-0.4327905,-4.4791397
171.7289556,24.9000239,-0.5186867,-4.4700072
172.0146391,24.8640919,-0.6043917,-4.4592276
172.2995802,24.822683,-0.6898741,-4.4468049
172.583674,24.7758123,-0.7751022,-4.4327437
172.8668158,24.7234971,-0.8600448,-4.4170491
173.1489013,24.6657567,-0.9446704,-4.399727
173.4298265,24.6026124,-1.0289479,-4.3807837
173.7094879,24.5340875,-1.1128464,-4.3602263
173.9877824,24.4602072,-1.1963347,-4.3380621
174.2646076,24.3809986,-1.2793823,-4.3142996
174.5398614,24.2964911,-1.3619584,-4.2889473
174.8134423,24.2067158,-1.4440327,-4.2620147
175.0852497,24.1117056,-1.5255749,-4.2335117
175.3551833,24.0114957,-1.606555,-4.2034487
175.6231436,23.906123,-1.6869431,-4.1718369
175.889032,23.7956262,-1.7667096,-4.1386879
176.1527504,23.6800461,-1.8458251,-4.1040138
176.4142017,23.5594254,-1.9242605,-4.0678276
176.6732896,23.4338083,-2.0019869,-4.0301425
176.9299185,23.3032413,-2.0789756,-3.9909724
177.183994,23.1677724,-2.1551982,-3.9503317
177.4354224,23.0274516,-2.2306267,-3.9082355
177.684111,22.8823305,-2.3052333,-3.8646991
177.9299682,22.7324626,-2.3789905,-3.8197388
178.1729035,22.5779032,-2.451871,-3.773371
178.4128273,22.4187092,-2.5238482,-3.7256127
178.6496512,22.2549392,-2.5948954,-3.6764818
178.8832879,22.0866536,-2.6649864,-3.6259961
179.1136514,21.9139145,-2.7340954,-3.5741743
179.3406568,21.7367853,-2.802197,-3.5210356
179.5642204,21.5553316,-2.8692661,-3.4665995
179.7842599,21.36962,-2.935278,-3.410886
180.0006941,21.179719,-3.0002082,-3.3539157
180.2134434,20.9856986,-3.064033,-3.2957096
180.4224293,20.7876303,-3.1267288,-3.2362891
180.6275748,20.5855871,-3.1882724,-3.1756761
180.8288044,20.3796433,-3.2486413,-3.113893
181.0260438,20.169875,-3.3078132,-3.0509625
181.2192205,19.9563593,-3.3657662,-2.9869078
181.4082632,19.739175,-3.422479,-2.9217525
181.5931023,19.5184021,-3.4779307,-2.8555206
181.7736697,19.294122,-3.5321009,-2.7882366
181.9498987,19.0664172,-3.5849696,-2.7199251
182.1217246,18.8353717,-3.6365174,-2.6506115
182.289084,18.6010706,-3.6867252,-2.5803212
182.4519152,18.3636002,-3.7355746,-2.5090801
182.6101582,18.1230481,-3.7830475,-2.4369144
182.7637547,17.8795029,-3.8291264,-2.3638509
182.9126481,17.6330543,-3.8737944,-2.2899163
183.0567836,17.3837932,-3.9170351,-2.2151379
183.1961081,17.1318113,-3.9588324,-2.1395434
183.3305701,16.8772015,-3.999171,-2.0631605
183.4601202,16.6200577,-4.0380361,-1.9860173
183.5847106,16.3604746,-4.0754132,-1.9081424
183.7042955,16.0985479,-4.1112886,-1.8295644
183.8188306,15.834374,-4.1456492,-1.7503122
183.928274,15.5680503,-4.1784822,-1.6704151
184.0325852,15.2996749,-4.2097755,-1.5899025
184.1317257,15.0293467,-4.2395177,-1.508804
184.2256591,14.7571654,-4.2676977,-1.4271496
184.3143508,14.4832312,-4.2943052,-1.3449694
184.397768,14.207645,-4.3193304,-1.2622935
184.47588,13.9305085,-4.342764,-1.1791525
184.5486581,13.6519236,-4.3645974,-1.0955771
184.6160755,13.3719932,-4.3848226,-1.011598
184.6781072,13.0908202,-4.4034322,-0.9272461
184.7347304,12.8085084,-4.4204191,-0.8425525
184.7859243,12.5251617,-4.4357773,-0.7575485
184.83167,12.2408846,-4.449501,-0.6722654
184.8719507,11.9557817,-4.4615852,-0.5867345
184.9067515,11.6699582,-4.4720254,-0.5009875
184.9360595,11.3835194,-4.4808179,-0.4150558
184.9598641,11.0965708,-4.4879592,-0.3289712
184.9781563,10.8092181,-4.4934469,-0.2427654
184.9909295,10.5215673,-4.4972789,-0.1564702
184.998179,10.2337243,-4.4994537,-0.0701173
184.9999021,9.9457951,-4.4999706,0.0162615
184.9960981,9.657886,-4.4988294,0.1026342
184.9867685,9.3701028,-4.4960305,0.1889691
184.9719167,9.0825518,-4.491575,0.2752345
184.9515481,8.7953389,-4.4854644,0.3613983
184.9256704,8.5085698,-4.4777011,0.4474291
184.8942929,8.2223503,-4.4682879,0.5332949
184.8574273,7.9367858,-4.4572282,0.6189643
184.8150872,7.6519815,-4.4445262,0.7044056
184.7672881,7.3680424,-4.4301864,0.7895873
184.7140477,7.0850731,-4.4142143,0.8744781
184.6553856,6.8031779,-4.3966157,0.9590466
184.5913234,6.5224606,-4.377397,1.0432618
184.5218847,6.2430247,-4.3565654,1.1270926
184.4470951,5.9649731,-4.3341285,1.2105081
184.3669822,5.6884083,-4.3100947,1.2934775
184.2815754,5.4134322,-4.2844726,1.3759703
184.1909063,5.1401462,-4.2572719,1.4579561
184.0950082,4.8686508,-4.2285025,1.5394048
183.9939165,4.5990463,-4.1981749,1.6202861
183.8876684,4.3314318,-4.1663005,1.7005705
183.7763031,4.065906,-4.1328909,1.7802282
183.6598617,3.8025668,-4.0979585,1.85923
183.538387,3.5415111,-4.0615161,1.9375467
183.4119237,3.2828352,-4.0235771,2.0151494
183.2805186,3.0266345,-3.9841556,2.0920097
183.1442199,2.7730032,-3.943266,2.1680991
183.003078,2.5220348,-3.9009234,2.2433896
182.8571448,2.2738219,-3.8571434,2.3178534
182.7064741,2.0284558,-3.8119422,2.3914633
182.5511214,1.786027,-3.7653364,2.4641919
182.391144,1.5466249,-3.7173432,2.5360125
182.2266008,1.3103376,-3.6679802,2.6068987
182.0575524,1.0772521,-3.6172657,2.6768244
181.8840612,0.8474545,-3.5652184,2.7457637
181.706191,0.6210293,-3.5118573,2.8136912
181.5240075,0.39806,-3.4572022,2.880582
181.3375776,0.1786287,-3.4012733,2.9464114
181.1469702,-0.0371836,-3.3440911,3.0111551
180.9522555,-0.2492976,-3.2856766,3.0747893
180.7535051,-0.4576349,-3.2260515,3.1372905
180.5507924,-0.6621189,-3.1652377,3.1986357
180.344192,-0.8626743,-3.1032576,3.2588023
